2020-11-14 02:00:15.404080 - ['R', '-50'] - RecursionError
2020-11-14 02:00:25.291237 - ['R', '-50'] - RecursionError
2020-11-14 02:00:32.620310 - ['R', '-50'] - RecursionError
2020-11-15 21:13:06.707757 - ['15'] - LenError
2020-11-15 21:14:04.664460 - ['50', '100m'] - 121.40 Ом(CU428)
2020-11-15 21:14:23.460198 - ['абра', 'кадабра'] - RecursionError
2020-11-15 21:15:10.283503 - ['абра', 'кадабра'] - RecursionError
2020-11-15 21:16:27.987894 - ['абра', 'кадабра'] - RecursionError
2020-11-15 21:16:27.988984 - ['абра', 'кадабра'] - Finally
2020-11-15 21:17:27.609264 - ['тестовое'] - LenError
2020-11-15 21:17:31.717558 - ['тестовое', 'сообщение'] - RecursionError
2020-11-15 21:18:17.066922 - ['100', 'n'] - 2.774 mV(N)
2020-11-15 21:20:03.548239 - ['100t', 'G'] - None
2020-11-15 21:20:22.350185 - ['100t', 'G'] - None
2020-11-15 21:21:05.638260 - ['100', 'G'] - None
2020-11-15 21:21:46.485834 - ['100', 'G'] - None
2020-11-15 21:22:20.190451 - ['100', 'g'] - None
2020-11-15 21:24:03.721728 - ['100', 'K'] - 4.097 mV(K)
2020-11-15 21:24:07.025686 - ['100', 'G'] - None
2020-11-15 21:26:47.431549 - ['100', 'G'] - None
2020-11-15 21:27:24.582806 - ['100', 'G'] - None
2020-11-15 21:31:18.601425 - ['78.7', '100ni'] - -41 °C(NI617)
2020-11-15 21:31:18.601561 - ['-50', '100n'] - 74.21 Ом(NI617)
2020-11-15 21:31:46.700779 - ['78.7', '100ni'] - -41 °C(NI617)
2020-11-15 21:31:46.700908 - ['-50', '100n'] - 74.21 Ом(NI617)
2020-11-15 21:33:18.952742 - ['78.7', '100ni'] - -41 °C(NI617)
2020-11-15 21:33:18.952882 - ['-50', '100n'] - 74.21 Ом(NI617)
2020-11-15 22:03:07.293174 - ['5', 'k'] - 0.198 mV(K)
2020-11-15 22:09:58.564327 - ['500к'] - LenError
2020-11-15 22:10:02.734088 - ['50k'] - LenError
2020-11-15 22:10:11.479475 - ['500', 'k'] - 20.645 mV(K)
2020-11-15 22:12:05.410052 - ['123'] - LenError
2020-11-15 22:12:13.841425 - ['100', '100m'] - 142.80 Ом(CU428)
2020-11-15 22:12:43.113131 - ['78.7', '100ni'] - -41 °C(NI617)
2020-11-15 22:12:48.935583 - ['78.7', '100n'] - -41 °C(NI617)
2020-11-15 22:13:12.908970 - ['78.7', '100ni'] - -41 °C(NI617)
